Composite table:
    i_MarketPriceCode  i_CensusDivision  i_NEMSYear    HMMBLK_PHMM(i_MarketPriceCode,i_CensusDivision,i_NEMSYear)
    7                                 3  41                                                                  2.11
    7                                 3  42                                                                  9.67
    7                                 4  34                                                                 76.32
    7                                 4  35                                                                 76.32
    7                                 4  36                                                                  2.09
    7                                 4  37                                                                  2.09
    7                                 4  38                                                                  2.10
    7                                 4  39                                                                  2.10
    7                                 4  40                                                                  2.11
    7                                 4  41                                                                  2.11
    7                                 4  42                                                                  9.67
    7                                 5  34                                                                 76.32
    7                                 5  35                                                                  2.08
    7                                 5  36                                                                  2.09
    7                                 5  37                                                                  2.09
    7                                 5  38                                                                  2.10
    7                                 5  39                                                                  2.10
    7                                 5  40                                                                  2.11
    7                                 5  41                                                                  2.11
    7                                 5  42                                                                  9.50
    7                                 6  34                                                                 76.32
    7                                 6  35                                                                  2.08
    7                                 6  36                                                                  2.09
    7                                 6  37                                                                  2.09
    7                                 6  38                                                                  2.10
    7                                 6  39                                                                  2.10
    7                                 6  40                                                                  2.11
    7                                 6  41                                                                  2.11
    7                                 6  42                                                                  9.50
    7                                 7  34                                                                 76.32
    7                                 7  35                                                                 76.32
    7                                 7  36                                                                  2.10
    7                                 7  37                                                                  2.09
    7                                 7  38                                                                  2.10
    7                                 7  39                                                                  2.10
    7                                 7  40                                                                  2.11
    7                                 7  41                                                                  2.11
    7                                 7  42                                                                  9.67
    7                                 8  34                                                                 76.32
    7                                 8  35                                                                  2.08
    7                                 8  36                                                                  2.09
    7                                 8  37                                                                  2.09
    7                                 8  38                                                                  2.10
    7                                 8  39                                                                  2.10
    7                                 8  40                                                                  2.11
    7                                 8  41                                                                  2.11
    7                                 8  42                                                                  9.67
    7                                 9  34                                                                 76.32
    7                                 9  35                                                                  2.08
    7                                 9  36                                                                  2.09
    7                                 9  37                                                                  2.09
    7                                 9  38                                                                  2.10
    7                                 9  39                                                                  2.10
    7                                 9  40                                                                  2.11
    7                                 9  41                                                                  2.11
    7                                 9  42                                                                 11.52
    7                                10  34                                                                 76.32
    7                                10  35                                                                  4.86
    7                                10  36                                                                  4.93
    7                                10  37                                                                  5.00
    7                                10  38                                                                  5.08
    7                                10  39                                                                  5.16
    7                                10  40                                                                  5.25
    7                                10  41                                                                  5.32
    7                                10  42                                                                  5.41
    8                                 1  34                                                                 76.32
    8                                 1  35                                                                 76.32
    8                                 1  36                                                                 76.32
    8                                 1  37                                                                  2.09
    8                                 1  38                                                                  2.10
    8                                 1  39                                                                  2.10
    8                                 1  40                                                                  2.50
    8                                 1  41                                                                  2.11
    8                                 1  42                                                                  9.92
    8                                 2  34                                                                 76.32
    8                                 2  35                                                                  2.08
    8                                 2  36                                                                  2.09
    8                                 2  37                                                                  2.09
    8                                 2  38                                                                  2.10
    8                                 2  39                                                                  2.10
    8                                 2  40                                                                  2.11
    8                                 2  41                                                                  2.11
    8                                 2  42                                                                  9.50
    8                                 3  34                                                                 76.32
    8                                 3  35                                                                 76.32
    8                                 3  36                                                                  2.09
    8                                 3  37                                                                  2.09
    8                                 3  38                                                                  2.10
    8                                 3  39                                                                  2.10
    8                                 3  40                                                                  2.11
    8                                 3  41                                                                  2.11
    8                                 3  42                                                                  9.67
    8                                 4  34                                                                 76.32
    8                                 4  35                                                                 76.32
    8                                 4  36                                                                  2.09
    8                                 4  37                                                                  2.09
    8                                 4  38                                                                  2.10
    8                                 4  39                                                                  2.10
    8                                 4  40                                                                  2.11
    8                                 4  41                                                                  2.11
    8                                 4  42                                                                  9.67
    8                                 5  34                                                                 76.32
    8                                 5  35                                                                  2.08
    8                                 5  36                                                                  2.09
    8                                 5  37                                                                  2.09
    8                                 5  38                                                                  2.10
    8                                 5  39                                                                  2.10
    8                                 5  40                                                                  2.11
    8                                 5  41                                                                  2.11
    8                                 5  42                                                                  9.50
    8                                 6  34                                                                 76.32
    8                                 6  35                                                                  2.08
    8                                 6  36                                                                  2.09
    8                                 6  37                                                                  2.09
    8                                 6  38                                                                  2.10
    8                                 6  39                                                                  2.10
    8                                 6  40                                                                  2.11
    8                                 6  41                                                                  2.11
    8                                 6  42                                                                  9.50
    8                                 7  34                                                                 76.32
    8                                 7  35                                                                 76.32
    8                                 7  36                                                                  2.10
    8                                 7  37                                                                  2.09
    8                                 7  38                                                                  2.10
    8                                 7  39                                                                  2.10
    8                                 7  40                                                                  2.11
    8                                 7  41                                                                  2.11
    8                                 7  42                                                                  9.67
    8                                 8  34                                                                 76.32
    8                                 8  35                                                                  2.08
    8                                 8  36                                                                  2.09
    8                                 8  37                                                                  2.09
    8                                 8  38                                                                  2.10
    8                                 8  39                                                                  2.10
    8                                 8  40                                                                  2.11
    8                                 8  41                                                                  2.11
    8                                 8  42                                                                  9.67
    8                                 9  34                                                                 76.32
    8                                 9  35                                                                  2.08
    8                                 9  36                                                                  2.09
    8                                 9  37                                                                  2.09
